DMSC,¦¤GOOH,¦¤GOH,¦¤GO,¦¤G1,¦¤G2,¦¤G3,¦¤G4,UL,L,EA1,EA2,R1,R2,P1,P2,Z1,Z2,N1,N2,Nd1,Nd2,IE1,IE2,IE1/Nd1,IE2/Nd2,IE1*L,IE2*L,P1/Nd1,P2/Nd2,P1*Nd1,P2*Nd2,P1+P2,|P1-P2|,R1+R2
Ni/Cu,3.66,0.98,2.61,-1.26,-1.05,-1.63,-0.98,0.98,2.62,1.156,1.235,2.4,2.38,1.91,1.9,28,29,10,11,8,10,7.639878,7.72638,0.95498475,0.772638,20.01648036,20.2431156,0.23875,0.19,15.28,19,3.81,0.01,4.78
Ni/Fe,4.06,0.56,2.34,-0.86,-1.72,-1.78,-0.56,0.56,2.58,1.156,0.151,2.4,2.44,1.91,1.83,28,26,10,8,8,6,7.639878,7.902468,0.95498475,1.317078,19.71088524,20.38836744,0.23875,0.305,15.28,10.98,3.74,0.08,4.84
Ni/Mn,3.86,0.44,2.23,-1.06,-1.63,-1.79,-0.44,0.44,2.71,1.156,-0.51821331,2.4,2.45,1.91,1.55,28,25,10,7,8,5,7.639878,7.434038,0.95498475,1.4868076,20.70406938,20.14624298,0.23875,0.31,15.28,7.75,3.46,0.36,4.85
Ni/Ni,3.67,0.84,2.65,-1.25,-1.02,-1.81,-0.84,0.84,2.54,1.156,1.156,2.4,2.4,1.91,1.91,28,28,10,10,8,8,7.639878,7.639878,0.95498475,0.95498475,19.40529012,19.40529012,0.23875,0.23875,15.28,15.28,3.82,0,4.8
Ni/Zn,3.74,0.7,2.49,-1.18,-1.25,-1.79,-0.7,0.7,2.64,1.156,-0.60112744,2.4,2.39,1.91,1.65,28,30,10,12,8,10,7.639878,9.394197,0.95498475,0.9394197,20.16927792,24.80068008,0.23875,0.165,15.28,16.5,3.56,0.26,4.79
Ni/Pt,4.41,1.23,3.84,-0.51,-0.57,-2.61,-1.23,0.51,2.59,1.156,2.128,2.4,2.29,1.91,2.2,28,78,10,10,8,9,7.639878,8.95883,0.95498475,0.995425556,19.78728402,23.2033697,0.23875,0.244444444,15.28,19.8,4.11,0.29,4.69
Ni/Ru,3.55,0.75,2.55,-1.37,-1,-1.8,-0.75,0.75,2.56,1.156,1.05,2.4,2.46,1.91,2.2,28,44,10,8,8,7,7.639878,7.3605,0.95498475,1.0515,19.55808768,18.84288,0.23875,0.314285714,15.28,15.4,4.11,0.29,4.86
Ni/Pd,3.9,0.93,2.87,-1.02,-1.03,-1.93,-0.93,0.93,2.61,1.156,0.562,2.4,2.15,1.91,2.2,28,46,10,10,8,10,7.639878,8.336839,0.95498475,0.8336839,19.94008158,21.75914979,0.23875,0.22,15.28,22,4.11,0.29,4.55
Ni/Rh,4.5,0.82,3.47,-0.42,-1.03,-2.64,-0.82,0.42,2.53,1.156,1.137,2.4,2.44,1.91,2.28,28,45,10,9,8,8,7.639878,7.4589,0.95498475,0.9323625,19.32889134,18.871017,0.23875,0.285,15.28,18.24,4.19,0.37,4.84
Zn/Co,3.48,0.43,2.91,-1.44,-0.58,-2.48,-0.43,0.43,2.65,-0.60112744,0.662256,2.39,2.4,1.65,1.88,30,27,12,9,10,7,9.394197,7.88101,0.9394197,1.125858571,24.89462205,20.8846765,0.165,0.268571429,16.5,13.16,3.53,0.23,4.79
Zn/Cr,3.44,0.39,2.84,-1.48,-0.6,-2.45,-0.39,0.39,2.72,-0.60112744,0.666,2.39,2.45,1.65,1.66,30,24,12,6,10,5,9.394197,6.76651,0.9394197,1.353302,25.55221584,18.4049072,0.165,0.332,16.5,8.3,3.31,0.01,4.84
Zn/Cu,4.19,0.94,3.36,-0.73,-0.83,-2.42,-0.94,0.73,2.58,-0.60112744,1.235,2.39,2.38,1.65,1.9,30,29,12,11,10,10,9.394197,7.72638,0.9394197,0.772638,24.23702826,19.9340604,0.165,0.19,16.5,19,3.55,0.25,4.77
Zn/Fe,3.48,0.44,2.27,-1.44,-1.22,-1.83,-0.44,0.44,2.66,-0.60112744,0.151,2.39,2.44,1.65,1.83,30,26,12,8,10,6,9.394197,7.902468,0.9394197,1.317078,24.98856402,21.02056488,0.165,0.305,16.5,10.98,3.48,0.18,4.83
Zn/Ni,3.48,0.42,3.04,-1.44,-0.44,-2.62,-0.42,0.42,2.64,-0.60112744,1.156,2.39,2.4,1.65,1.91,30,28,12,10,10,8,9.394197,7.639878,0.9394197,0.95498475,24.80068008,20.16927792,0.165,0.23875,16.5,15.28,3.56,0.26,4.79
Zn/Zn,3.49,0.47,2.93,-1.43,-0.57,-2.46,-0.47,0.47,2.66,-0.60112744,-0.60112744,2.39,2.39,1.65,1.65,30,30,12,12,10,10,9.394197,9.394197,0.9394197,0.9394197,24.98856402,24.98856402,0.165,0.165,16.5,16.5,3.3,0,4.78
Zn/Pt,3.57,0.56,3,-1.35,-0.56,-2.45,-0.56,0.56,2.67,-0.60112744,2.128,2.39,2.29,1.65,2.2,30,78,12,10,10,9,9.394197,8.95883,0.9394197,0.995425556,25.08250599,23.9200761,0.165,0.244444444,16.5,19.8,3.85,0.55,4.68
Zn/Ru,3.22,0.06,2.49,-1.7,-0.73,-2.43,-0.06,0.06,2.66,-0.60112744,1.05,2.39,2.46,1.65,2.2,30,44,12,8,10,7,9.394197,7.3605,0.9394197,1.0515,24.98856402,19.57893,0.165,0.314285714,16.5,15.4,3.85,0.55,4.85
Zn/Rh,3.22,0.54,2.61,-1.7,-0.61,-2.08,-0.54,0.54,2.74,-0.60112744,1.137,2.39,2.44,1.65,2.28,30,45,12,9,10,8,9.394197,7.4589,0.9394197,0.9323625,25.74009978,20.437386,0.165,0.285,16.5,18.24,3.93,0.63,4.83
Pt/Co,4.21,1.79,2.6,-0.71,-1.61,-0.81,-1.79,0.71,2.62,2.128,0.662256,2.29,2.4,2.2,1.88,78,27,10,9,9,7,8.95883,7.88101,0.995425556,1.125858571,23.4721346,20.6482462,0.244444444,0.268571429,19.8,13.16,4.08,0.32,4.69
Pt/Cr,4.33,0.46,2.22,-0.59,-2.11,-1.76,-0.46,0.46,2.69,2.128,0.666,2.29,2.45,2.2,1.66,78,24,10,6,9,5,8.95883,6.76651,0.995425556,1.353302,24.0992527,18.2019119,0.244444444,0.332,19.8,8.3,3.86,0.54,4.74
Pt/Cu,4.4,1.84,3.22,-0.52,-1.18,-1.38,-1.84,0.52,2.62,2.128,1.235,2.29,2.38,2.2,1.9,78,29,10,11,9,10,8.95883,7.72638,0.995425556,0.772638,23.4721346,20.2431156,0.244444444,0.19,19.8,19,4.1,0.3,4.67
Pt/Fe,4.43,0.57,2.31,-0.49,-2.11,-1.75,-0.57,0.49,2.57,2.128,0.151,2.29,2.44,2.2,1.83,78,26,10,8,9,6,8.95883,7.902468,0.995425556,1.317078,23.0241931,20.30934276,0.244444444,0.305,19.8,10.98,4.03,0.37,4.73
Pt/Mn,4.33,0.14,1.9,-0.59,-2.43,-1.77,-0.14,0.14,2.75,2.128,-0.51821331,2.29,2.45,2.2,1.55,78,25,10,7,9,5,8.95883,7.434038,0.995425556,1.4868076,24.6367825,20.4436045,0.244444444,0.31,19.8,7.75,3.75,0.65,4.74
Pt/Ni,4.42,1.99,2.43,-0.5,-1.99,-0.45,-1.99,0.45,2.59,2.128,1.156,2.29,2.4,2.2,1.91,78,28,10,10,9,8,8.95883,7.639878,0.995425556,0.95498475,23.2033697,19.78728402,0.244444444,0.23875,19.8,15.28,4.11,0.29,4.69
Pt/Zn,4.38,0.43,2.15,-0.54,-2.23,-1.72,-0.43,0.43,2.67,2.128,-0.60112744,2.29,2.39,2.2,1.65,78,30,10,12,9,10,8.95883,9.394197,0.995425556,0.9394197,23.9200761,25.08250599,0.244444444,0.165,19.8,16.5,3.85,0.55,4.68
Pt/Pt,4.36,1.72,1.99,-0.56,-2.37,-0.27,-1.72,0.27,2.66,2.128,2.128,2.29,2.29,2.2,2.2,78,78,10,10,9,9,8.95883,8.95883,0.995425556,0.995425556,23.8304878,23.8304878,0.244444444,0.244444444,19.8,19.8,4.4,0,4.58
Pt/Ru,4.33,0.38,2.08,-0.59,-2.25,-1.7,-0.38,0.38,2.63,2.128,1.05,2.29,2.46,2.2,2.2,78,44,10,8,9,7,8.95883,7.3605,0.995425556,1.0515,23.5617229,19.358115,0.244444444,0.314285714,19.8,15.4,4.4,0,4.75
Pt/Rh,3.52,0.82,3.15,-1.4,-0.38,-2.33,-0.82,0.38,2.55,2.128,1.137,2.29,2.44,2.2,2.28,78,45,10,9,9,8,8.95883,7.4589,0.995425556,0.9323625,22.8450165,19.020195,0.244444444,0.285,19.8,18.24,4.48,0.08,4.73
Ru/Co,2.72,-0.14,2.64,-2.2,-0.08,-2.78,0.14,-0.14,2.58,1.05,0.662256,2.46,2.4,2.2,1.88,44,27,8,9,7,7,7.3605,7.88101,1.0515,1.125858571,18.99009,20.3330058,0.314285714,0.268571429,15.4,13.16,4.08,0.32,4.86
Ru/Cr,3.24,0.51,1.39,-1.68,-1.85,-0.88,-0.51,0.51,2.67,1.05,0.666,2.46,2.45,2.2,1.66,44,24,8,6,7,5,7.3605,6.76651,1.0515,1.353302,19.652535,18.0665817,0.314285714,0.332,15.4,8.3,3.86,0.54,4.91
Ru/Cu,3.13,0.39,1.27,-1.79,-1.87,-0.87,-0.39,0.39,2.49,1.05,1.235,2.46,2.38,2.2,1.9,44,29,8,11,7,10,7.3605,7.72638,1.0515,0.772638,18.327645,19.2386862,0.314285714,0.19,15.4,19,4.1,0.3,4.84
Ru/Fe,3.54,0.23,1,-1.38,-2.54,-0.77,-0.23,0.23,2.61,1.05,0.151,2.46,2.44,2.2,1.83,44,26,8,8,7,6,7.3605,7.902468,1.0515,1.317078,19.210905,20.62544148,0.314285714,0.305,15.4,10.98,4.03,0.37,4.9
Ru/Mn,1.99,-0.6,0.17,-2.93,-1.82,-0.76,0.6,-0.6,2.65,1.05,-0.51821331,2.46,2.45,2.2,1.55,44,25,8,7,7,5,7.3605,7.434038,1.0515,1.4868076,19.505325,19.7002007,0.314285714,0.31,15.4,7.75,3.75,0.65,4.91
Ru/Ni,3.33,0.31,1.42,-1.59,-1.91,-1.11,-0.31,0.31,2.56,1.05,1.156,2.46,2.4,2.2,1.91,44,28,8,10,7,8,7.3605,7.639878,1.0515,0.95498475,18.84288,19.55808768,0.314285714,0.23875,15.4,15.28,4.11,0.29,4.86
Ru/Zn,2.83,-0.15,2.98,-2.09,0.14,-3.13,0.15,-0.15,2.66,1.05,-0.60112744,2.46,2.39,2.2,1.65,44,30,8,12,7,10,7.3605,9.394197,1.0515,0.9394197,19.57893,24.98856402,0.314285714,0.165,15.4,16.5,3.85,0.55,4.85
Ru/Pt,3.05,0.5,1.19,-1.87,-1.87,-0.68,-0.5,0.5,2.63,1.05,2.128,2.46,2.29,2.2,2.2,44,78,8,10,7,9,7.3605,8.95883,1.0515,0.995425556,19.358115,23.5617229,0.314285714,0.244444444,15.4,19.8,4.4,0,4.75
Ru/Ru,3.19,0.29,1.2,-1.73,-1.98,-0.91,-0.29,0.29,2.47,1.05,1.05,2.46,2.46,2.2,2.2,44,44,8,8,7,7,7.3605,7.3605,1.0515,1.0515,18.180435,18.180435,0.314285714,0.314285714,15.4,15.4,4.4,0,4.92
Ru/Rh,3.86,0.4,1.25,-1.06,-2.61,-0.84,-0.4,0.4,2.59,1.05,1.137,2.46,2.44,2.2,2.28,44,45,8,9,7,8,7.3605,7.4589,1.0515,0.9323625,19.063695,19.318551,0.314285714,0.285,15.4,18.24,4.48,0.08,4.9
Pd/Cr,3.29,0.53,2.53,-1.63,-0.76,-2,-0.53,0.53,2.71,0.562,0.666,2.15,2.45,2.2,1.66,46,24,10,6,10,5,8.336839,6.76651,0.8336839,1.353302,22.59283369,18.3372421,0.22,0.332,22,8.3,3.86,0.54,4.6
Pd/Cu,4.37,0.9,2.89,-0.55,-1.48,-1.99,-0.9,0.55,2.68,0.562,1.235,2.15,2.38,2.2,1.9,46,29,10,11,10,10,8.336839,7.72638,0.8336839,0.772638,22.34272852,20.7066984,0.22,0.19,22,19,4.1,0.3,4.53
Pd/Fe,3.3,0.42,1.26,-1.62,-2.04,-0.85,-0.42,0.42,2.57,0.562,0.151,2.15,2.44,2.2,1.83,46,26,10,8,10,6,8.336839,7.902468,0.8336839,1.317078,21.42567623,20.30934276,0.22,0.305,22,10.98,4.03,0.37,4.59
Pd/Mn,3.05,0.27,2.27,-1.87,-0.78,-2,-0.27,0.27,2.8,0.562,-0.51821331,2.15,2.45,2.2,1.55,46,25,10,7,10,5,8.336839,7.434038,0.8336839,1.4868076,23.3431492,20.8153064,0.22,0.31,22,7.75,3.75,0.65,4.6
Pd/Ni,3.43,0.65,2.9,-1.49,-0.53,-2.24,-0.65,0.53,2.61,0.562,1.156,2.15,2.4,2.2,1.91,46,28,10,10,10,8,8.336839,7.639878,0.8336839,0.95498475,21.75914979,19.94008158,0.22,0.23875,22,15.28,4.11,0.29,4.55
Pd/Pd,3.34,0.58,1.57,-1.58,-1.77,-0.99,-0.58,0.58,2.74,0.562,0.562,2.15,2.15,2.2,2.2,46,46,10,10,10,10,8.336839,8.336839,0.8336839,0.8336839,22.84293886,22.84293886,0.22,0.22,22,22,4.4,0,4.3
Rh/Co,3.9,0.71,2.41,-1.02,-1.49,-1.7,-0.71,0.71,2.56,1.137,0.662256,2.44,2.4,2.28,1.88,45,27,9,9,8,7,7.4589,7.88101,0.9323625,1.125858571,19.094784,20.1753856,0.285,0.268571429,18.24,13.16,4.16,0.4,4.84
Rh/Cr,3.1,0.32,1.56,-1.82,-1.54,-1.24,-0.32,0.32,2.71,1.137,0.666,2.44,2.45,2.28,1.66,45,24,9,6,8,5,7.4589,6.76651,0.9323625,1.353302,20.213619,18.3372421,0.285,0.332,18.24,8.3,3.94,0.62,4.89
Rh/Cu,3.54,0.74,2.34,-1.38,-1.21,-1.59,-0.74,0.74,2.57,1.137,1.235,2.44,2.38,2.28,1.9,45,29,9,11,8,10,7.4589,7.72638,0.9323625,0.772638,19.169373,19.8567966,0.285,0.19,18.24,19,4.18,0.38,4.82
Rh/Fe,4.01,0.7,1.85,-0.91,-2.16,-1.15,-0.7,0.7,2.61,1.137,0.151,2.44,2.44,2.28,1.83,45,26,9,8,8,6,7.4589,7.902468,0.9323625,1.317078,19.467729,20.62544148,0.285,0.305,18.24,10.98,4.11,0.45,4.88
Rh/Mn,2.3,-0.27,1.26,-2.62,-1.04,-1.53,0.27,-0.27,2.54,1.137,-0.51821331,2.44,2.45,2.28,1.55,45,25,9,7,8,5,7.4589,7.434038,0.9323625,1.4868076,18.945606,18.88245652,0.285,0.31,18.24,7.75,3.83,0.73,4.89
Rh/Ni,3.45,0.99,3.55,-1.47,0.1,-2.56,-0.99,-0.1,2.53,1.137,1.156,2.44,2.4,2.28,1.91,45,28,9,10,8,8,7.4589,7.639878,0.9323625,0.95498475,18.871017,19.32889134,0.285,0.23875,18.24,15.28,4.19,0.37,4.84
Rh/Zn,3.22,0.54,2.61,-1.7,-0.61,-2.08,-0.54,0.54,2.74,1.137,-0.60112744,2.44,2.39,2.28,1.65,45,30,9,12,8,10,7.4589,9.394197,0.9323625,0.9394197,20.437386,25.74009978,0.285,0.165,18.24,16.5,3.93,0.63,4.83
Rh/Pt,3.53,0.78,2.02,-1.39,-1.51,-1.24,-0.78,0.78,2.55,1.137,2.128,2.44,2.29,2.28,2.2,45,78,9,10,8,9,7.4589,8.95883,0.9323625,0.995425556,19.020195,22.8450165,0.285,0.244444444,18.24,19.8,4.48,0.08,4.73
Rh/Ru,3.65,0.89,2.58,-1.27,-1.07,-1.69,-0.89,0.89,2.59,1.137,1.05,2.44,2.46,2.28,2.2,45,44,9,8,8,7,7.4589,7.3605,0.9323625,1.0515,19.318551,19.063695,0.285,0.314285714,18.24,15.4,4.48,0.08,4.9
Rh/Rh,3.94,0.72,2.19,-0.98,-1.75,-1.47,-0.72,0.72,2.57,1.137,1.137,2.44,2.44,2.28,2.28,45,45,9,9,8,8,7.4589,7.4589,0.9323625,0.9323625,19.169373,19.169373,0.285,0.285,18.24,18.24,4.56,0,4.88
